,Founded,Company,Sector,Headquarters,Investors Name,Stage,Amount,Industry Vertical,Year,numberofinvestors
2173,2017,CoinSwitch Kuber,Crypto,bangalore,"Coinbase Ventures, Andreessen Horowitz",seriesc,260000000,Other,2017,1
2174,2020,Pazcare,Insurance,bangalore,"BEENEXT, 3one4 Capital",seed,3500000,Other,2020,1
2175,2020,kWh Bikes,Automotive,bangalore,"Letâ€™s Venture, Better Capital",seed,2000000,Other,2020,1
2176,2018,Twin Health,"Health, Wellness & Fitness",chennai,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",seriesc,140000000,Other,2018,1
2177,2021,Trica,Equity Management,mumbai,LetsVenture,seed,3000000,Other,2021,1
2178,2011,Rebel Foods,Cloud kitchen,mumbai,Qatar Investment Authority,seriesf,175000000,Other,2011,1
2179,2020,ProfitWheel,Marketing & Advertising,mumbai,"Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",seed,3000000,Other,2020,1
2180,2018,Ishitva,Computer Software,ahmedabad,Inflection Point Ventures,pre-seriesa,1000000,Other,2018,1
2181,2014,leap.club,Community,gurugram,"Enzia Ventures, Kunal Shah",pre-seriesa,810000,Other,2014,1
2182,2018,F5,Retail,new delhi,Auxano Capital,pre-seriesa,600000,Other,2018,1
2183,2018,ForeignAdmits,Higher Education,bangalore,Unicorn India Ventures,seed,400000,Other,2018,1
2184,2019,SALT,Financial Services,bangalore,"Prashant Pansare, Supermorpheus",pre-seed,500000,Other,2019,1
2185,2020,Crater.Club,Media,bangalore,LC Nueva AIF,seed,700000,Other,2020,1
2186,2021,NFTically,NFT,gurugram,"Nitish Mittersain, Gaurav Munjal",seed,1000000,Other,2021,1
2187,2020,ReshaMandi,B2B,bangalore,"9Unicorns, Venture Catalysts, Sandeep Singhal",seriesa,30000000,Other,2020,1
2188,2020,Hubilo,Software Startup,ahmedabad,Alkeon Capital,seriesb,125000000,Other,2020,1
2189,2015,Fi,Financial Services,chennai,Tiger Global,seriesc,35000000,Other,2015,1
2190,2017,Fi,Financial Services,bangalore,"Temasek, Google, SBI Investment",seriesc,90000000,Other,2017,1
2191,2021,Niro,Financial Services,bangalore,Elevar Equity,seed,3500000,Other,2021,1
2192,2017,AnKa SumMor,Sales and Distribution,bangalore,Inflection Point Ventures,pre-seriesa,1000000,Other,2017,1
2193,2021,Playto Labs,E-learning,bangalore,Inflection Point Ventures,seed,500000,Other,2021,1
2194,2020,Fraazo,Food & Beverages,mumbai,WestBridge Capital,seriesb,50000000,Other,2020,1
2195,2018,FloCareer,Information Services,bangalore,Data Point Capital,seriesa,5700000,Other,2018,1
2196,2019,Nap Chief,Apparel & Fashion,mumbai,Titan Capital,seed,200000,Other,2019,1
2197,2021,AcknoLedger,Crypto,mumbai,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",seed,1500000,Other,2021,1
2198,2016,Aviom India,Financial Services,bhilwara,Sabre Partners,seriesc,8000000,Other,2016,1
2199,2016,SaaS Labs,SaaS,noida,"Base 10 Partners, Eight Roads Ventures",seriesa,17000000,Other,2016,1
2200,2017,Devnagri,Translation & Localization,noida,"enture Catalyst, IPV",seed,600000,Other,2017,1
2201,2018,CRED,Finance,bangalore,"Tiger Global, Falcon Edge",seriese,250000000,Other,2018,1
2202,2013,ConveGenius,Education Management,noida,"BAce Capital, Heritas Capital, 3Lines Venture Capital",pre-seed,5000000,Other,2013,1
2203,2017,Cred,Financial Services,mumbai,"Plutus Wealth, Oaks Asset Management",seriesb,30000000,Other,2017,1
2204,2017,MarketWolf,Financial Services,mumbai,"Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",seed,5500000,Other,2017,1
2205,2020,Wondrlab,Marketing & Advertising,mumbai,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings",pre-seriesa,7000000,Other,2020,1
2206,2020,Tamasha,Entertainment,mumbai,Chiratae Ventures,pre-seriesa,3000000,Other,2020,1
2207,2017,Revfin,Financial Services,new delhi,"Ruchirans Jaipuria, Rishi Kajaria",pre-seriesa,4000000,Other,2017,1
2208,2020,Yu Foodlabs,Food & Beverages,gurugram,"Manish Choksi, Varun Vakil",pre-seriesa,1000000,Other,2020,1
2209,2015,FarMart,Farming,gurugram,Matrix Partners India,seriesa,10000000,Other,2015,1
2210,2020,Questt,EdTech,gurugram,Celesta Capital,seriesa,6750000,Other,2020,1
2211,2011,IDfy,Information Technology & Services,mumbai,"TransUnion, Blume Ventures",seriesd,10000000,Other,2011,1
2212,2016,Clear,Retail,ghaziabad,Aroa Ventures,pre-seriesa,4000000,Other,2016,1
2213,2017,BookingJini,Hospitality,gurugram,Mumbai Angels Network,pre-seriesa,1200000,Other,2017,1
2214,2021,Sourcewiz,Information Technology & Services,gurugram,"Blume, Alpha Wave Incubation",seed,3000000,Other,2021,1
2215,2021,Kafqa Academy,E-learning,bangalore,"Global Founders Capital, Enzia Ventures, Better Capital",seed,1300000,Other,2021,1
2216,2016,Storia,Food & Beverages,mumbai,Sixth Sense Ventures,seriesa,6000000,Other,2016,1
2217,2011,Clear,Computer Software,bangalore,"Kora Capital, Stripe, Alua Capital",seriesc,75000000,Other,2011,1
2218,2016,Groww,Finance,bangalore,Iconiq Growth,seriese,250000000,Other,2016,1
2219,2020,Teachmint,E-learning,bangalore,"Rocketship.vc, Vulcan Capital",seriesb,78000000,Other,2020,1
2220,2014,Porter,Logistics & Supply Chain,bangalore,"Tiger Global, Vitruvian Partners",seriese,100000000,Other,2014,1
2221,2017,O4S,Information Technology & Services,gurugram,"Think Investments, Venture Highway",seriesa,6000000,Other,2017,1
2222,2020,Wobb,Marketing,gurugram,"Alok Kohli, Sanjeev Bhargava",pre-seed,200000,Other,2020,1
2223,2020,BASIC Home Loan,Financial Services,gurugram,"Venture Catalysts, Gruhas Proptech",seriesa,3500000,Other,2020,1
2224,2020,Siply,Financial Services,bangalore,"LetsVenture, AngelList India, Founder's Room Circle",pre-seriesa,3200000,Other,2020,1
2225,2016,Healofy,Femtech,bangalore,"Celesta Capital, Omidyar Network India",seriesb,6000000,Other,2016,1
2226,2012,E42,Computer Software,pune,Pavestone Ventures,seriesa,5400000,Other,2012,1
2227,2017,Spottabl,Human Resources,bangalore,"LetsVenture, Paradigm Shift VC, Binny Bansal",seed,400000,Other,2017,1
